Designator,Value,Footprint,LCSC
C1,10u,0805,CL21A106KAYNNNE
C19,10u,0805,CL21A106KAYNNNE
C24,10u,0805,CL21A106KAYNNNE
C25,10u,0805,CL21A106KAYNNNE
C28,10u,0805,CL21A106KAYNNNE
C5,10u,0805,CL21A106KAYNNNE
C10,4.7u,0402,CL05A475MP5NRNC
C6,4.7u,0402,CL05A475MP5NRNC
C7,4.7u,0402,CL05A475MP5NRNC
C9,4.7u,0402,CL05A475MP5NRNC
C11,100n,0402,CL05B104KO5NNNC
C12,100n,0402,CL05B104KO5NNNC
C13,100n,0402,CL05B104KO5NNNC
C14,100n,0402,CL05B104KO5NNNC
C15,100n,0402,CL05B104KO5NNNC
C16,100n,0402,CL05B104KO5NNNC
C17,100n,0402,CL05B104KO5NNNC
C18,100n,0402,CL05B104KO5NNNC
C2,100n,0402,CL05B104KO5NNNC
C20,100n,0402,CL05B104KO5NNNC
C21,100n,0402,CL05B104KO5NNNC
C23,100n,0402,CL05B104KO5NNNC
C27,100n,0402,CL05B104KO5NNNC
C8,100n,0402,CL05B104KO5NNNC
C22,DNF,0402,
R1,DNF,0402,
R11,DNF,0402,
R13,DNF,0402,
R9,DNF,0402,
C26,0.1u,0402,CL05B104KO5NNNC
C29,250u,C_Radial_D6.3mm_H5.0mm_P2.50mm,FVH010ADA221M0654
C3,15p,0402,0402CG150J500NT
C4,15p,0402,0402CG150J500NT
C30,0.05u,0402,GRM155R71C473KA01D
J1,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,10103594-0001LF
J10,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,PZ2.54-1*2
J11,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,PZ2.54-1*2
J12,Conn_01x02_Pin,PinHeader_1x02_P2.54mm_Vertical,PZ2.54-1*2
J4,Conn_02x08_Counter_Clockwise,PinHeader_2x08_P2.54mm_Horizontal,2.54-2*8P弯简牛
J7,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1725656
J8,Screw_Terminal_01x02,"TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",1725656
J9,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Horizontal,2.54-1x6P直针
L1,3.3u,0806,AOTA-B201610S3R3-101-T
R10,0,0402,0402WGF0000TCE
R12,4.7k,0402,0402WGF4701TCE
R14,4.7k,0402,0402WGF4701TCE
R15,4.7k,0402,0402WGF4701TCE
R16,4.7k,0402,0402WGF4701TCE
R17,1k,0402,0402WGF1001TCE
R2,1k,0402,0402WGF1001TCE
R4,1k,0402,0402WGF1001TCE
R6,1k,0402,0402WGF1001TCE
R3,33,0402,0402WGF330JTCE
R5,10k,0402,0402WGF1002TCE
R7,27,0402,0402WGF270JTCE
R8,27,0402,0402WGF270JTCE
SW1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,4.34133E+11
SW2,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,4.34133E+11
U1,RP2350_80QFN,RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias,RP2350B
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,BL1117-33CX
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,W25Q128JVSIQ
U4,DNF,SOIC-8_5.23x5.23mm_P1.27mm,
U5,24AA025E-SN,SOIC-8_3.9x4.9mm_P1.27mm,24AA025E48-I/SN
U6,LM1084-5.0,TO-220-3_Horizontal_TabDown,LM1084IT-5.0/NOPB
U7,LM324,SSOP-14_5.3x6.2mm_P0.65mm,LM324
U8,LM386,SOIC-8_3.9x4.9mm_P1.27mm,LM386MX-1/NOPB
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,ABM8-272-T3
