Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0805_2012Metric",7.937500,23.800000,0.000000,top
"C2","100n","C_0402_1005Metric",-3.815000,17.170000,180.000000,top
"C3","15p","C_0402_1005Metric",-1.375000,-10.420000,180.000000,top
"C4","15p","C_0402_1005Metric",1.595000,-10.420000,0.000000,top
"C5","10u","C_0805_2012Metric",9.025000,11.000000,0.000000,top
"C6","4.7u","C_0402_1005Metric_small_pads",3.000000,6.050000,0.000000,top
"C7","4.7u","C_0402_1005Metric_small_pads",3.000000,7.000000,0.000000,top
"C8","100n","C_0402_1005Metric",-8.000000,0.200000,180.000000,top
"C9","4.7u","C_0402_1005Metric",5.200000,6.500000,-90.000000,top
"C10","4.7u","C_0402_1005Metric",1.400000,-8.300000,-90.000000,top
"C11","100n","C_0402_1005Metric",8.000000,0.500000,0.000000,top
"C12","100n","C_0402_1005Metric",-1.000000,8.800000,90.000000,top
"C13","100n","C_0402_1005Metric",-1.300000,-8.300000,-90.000000,top
"C14","100n","C_0402_1005Metric",-5.800000,8.100000,180.000000,top
"C15","100n","C_0402_1005Metric",-8.000000,2.900000,180.000000,top
"C16","100n","C_0402_1005Metric",8.005000,-0.500000,0.000000,top
"C17","100n","C_0402_1005Metric",-8.000000,-2.200000,180.000000,top
"C18","100n","C_0402_1005Metric",7.500000,-4.500000,0.000000,top
"C19","10u","C_0805_2012Metric",-14.885000,22.000000,0.000000,top
"C20","100n","C_0402_1005Metric",7.500000,4.300000,0.000000,top
"C21","100n","C_0402_1005Metric",-4.700000,-6.700000,180.000000,top
"C24","10u","C_0805_2012Metric",16.000000,7.000000,180.000000,top
"C25","10u","C_0805_2012Metric",20.500000,5.500000,0.000000,top
"C26","0.1u","C_0402_1005Metric",13.500000,14.500000,180.000000,top
"C29","250u","C_Radial_D6.3mm_H5.0mm_P2.50mm",15.452500,26.823049,0.000000,top
"C30","0.05u","C_0402_1005Metric",11.500000,24.500000,180.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",-0.025000,27.165000,180.000000,top
"J4","Conn_02x08_Counter_Clockwise","PinHeader_2x08_P2.54mm_Horizontal",-22.000000,5.000000,180.000000,top
"J7","Screw_Terminal_01x02","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",23.000000,15.500000,-90.000000,top
"J8","Screw_Terminal_01x02","TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",23.500000,22.500000,-90.000000,top
"J9","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Horizontal",-24.615000,-11.850000,180.000000,top
"J10","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",-17.500000,-9.000000,180.000000,top
"J11","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",-13.000000,-9.000000,180.000000,top
"J12","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",11.500000,28.000000,-90.000000,top
"L1","3.3u","L_pol_2016",3.000000,8.650000,0.000000,top
"R1","DNF","R_0402_1005Metric",-7.600000,17.700000,-90.000000,top
"R2","1k","R_0402_1005Metric",0.200000,-8.305000,-90.000000,top
"R3","33","R_0402_1005Metric",5.200000,8.350000,-90.000000,top
"R4","1k","R_0402_1005Metric",8.100000,-13.700000,-90.000000,top
"R5","10k","R_0402_1005Metric",-17.500000,-3.000000,0.000000,top
"R6","1k","R_0402_1005Metric",-11.400000,18.600000,0.000000,top
"R7","27","R_0402_1005Metric",0.000000,8.800000,-90.000000,top
"R8","27","R_0402_1005Metric",1.000000,8.800000,-90.000000,top
"R9","DNF","R_0402_1005Metric",-9.100000,17.700000,-90.000000,top
"R10","0","R_0402_1005Metric",-11.400000,17.200000,0.000000,top
"R12","4.7k","R_0402_1005Metric",-10.000000,-8.000000,0.000000,top
"R14","4.7k","R_0402_1005Metric",-10.000000,-10.500000,0.000000,top
"R17","1k","R_0402_1005Metric",14.000000,11.000000,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",-8.800000,24.800000,-90.000000,top
"SW2","SW_Push","SW_Push_1P1T_NO_Vertical_Wuerth_434133025816",10.725000,-13.600000,90.000000,top
"U1","RP2350_80QFN","RP2350-QFN-80-1EP_10x10_P0.4mm_EP3.4x3.4mm_ThermalVias",0.000000,0.000000,0.000000,top
"U2","NCP1117-3.3_SOT223","SOT-223-3_TabPin2",8.000000,17.650000,-90.000000,top
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",-7.000000,12.800000,0.000000,top
"U6","LM1084-5.0","TO-220-3_Horizontal_TabDown",22.000000,2.500000,180.000000,top
"U8","LM386","SOIC-8_3.9x4.9mm_P1.27mm",15.750000,20.275549,0.000000,top
"Y1","ABM8-272-T3","Crystal_SMD_3225-4Pin_3.2x2.5mm",0.000000,-14.000000,0.000000,top
